"Min"	"Max"
1	1768582
1768583	2504966
2504967	6818602
8857730	10066351
10066352	10943338
17468612	17728080
7000869	8463362
11835395	15149545
10943339	11835394
16644642	17468611
15149546	16644641
8463363	8857729
6818603	7000868
17728081	19787792
