"Min"	"Max"
1	1768582
1768583	2504966
2504967	6818602
13666977	14875598
14875599	15752585
17468612	17728080
7000869	8463362
8463363	11777513
15752586	16644641
16644642	17468611
11777514	13272609
13272610	13666976
6818603	7000868
17728081	19787792
