Don Rec Reg      Phi    Obs(N) LowLim(N) Expect(N)  UpLim(N)  Prob(UE)  Obs#(CT)  Exp#(CT)  Prob(TS)
 TL  AR  12 0.998203    379.76    486.28    556.48    650.36     0.284        97    135.54     0.008
 TL  AR  13 0.998902    741.03    790.04    910.77   1075.05     0.199        29     36.21     0.008
 TL  AR  14 0.999915   3270.77  10817.03  11765.23  12895.63     0.024       506    518.41     0.123
 AR  CH  1  0.999935  17920.31  12300.01  15377.83  20510.04     0.663        75    222.53     0.081
 AR  CH  2  0.999891   8488.54   7646.86   9172.89  11459.85     0.612        68    175.31     0.091
 AR  CH  3  0.999906   4873.09  10578.32  10638.69  10699.75     0.311       983   1425.69     0.147
 AR  CH  4  0.999416    541.38   1401.14   1712.31   2201.16     0.070       354    380.64     0.022
 AR  CH  5  0.999722   1002.98   3347.41   3597.17   3887.21     0.052       470    495.89     0.085
 AR  CH  6  0.998975    861.12    898.72    975.59   1066.85     0.116        33     37.33     0.006
 AR  CH  7  0.998971    243.86    945.78    971.80    999.30     0.129       432    495.87     0.014
 AR  CH  8  0.999620    349.46   2502.57   2631.72   2774.93     0.085      1169   1278.04     0.042
 AR  CH  9  0.998803    410.61    791.90    835.44    884.03     0.171       294    354.49     0.014
 AR  CH  10 0.996216    163.92    252.05    264.27    277.73     0.402       197    329.43     0.004
 AR  CH  11 0.998799    307.79    817.76    832.66    848.11     0.206       390    491.09     0.011
 AR  CH  12 0.999266    450.80   1240.64   1362.45   1510.78     0.152       100    117.94     0.017
 AR  CH  13 0.996784    209.54    303.21    310.94    319.08     0.425        54     93.89     0.007
 AR  CH  14 0.999963   8750.31  23797.47  27016.45  31242.49     0.010       208    210.05     0.115
 CU  CH  1  0.999800   4089.42   4951.95   5000.66   5050.34     0.802       269   1361.64     0.214
 CU  CH  2  0.999711    592.46   3009.91   3459.93   4068.19     0.587       155    375.16     0.098
 CU  CH  3  0.999752    522.73   3768.47   4032.02   4335.20     0.288      1888   2651.11     0.138
 CU  CH  4  0.997129    188.28    343.48    348.31    353.29     0.594       371    914.66     0.015
 CU  CH  5  0.997800    239.28    449.92    454.54    459.26     0.621       526   1388.27     0.040
 CU  CH  6  0.998042    315.74    482.16    510.72    542.88     0.493        47     92.75     0.010
 CH  AR  1  0.999927  15318.39  12104.77  13695.69  15768.06     0.695       201    659.43     0.213
 CH  AR  2  0.999859   7285.27   6072.10   7090.96   8520.68     0.686       165    524.82     0.211
 CH  AR  3  0.999848   2091.80   6362.24   6579.30   6811.70     0.435      2215   3920.27     0.249
 CH  AR  4  0.998843    318.64    837.14    864.31    893.31     0.132       602    693.36     0.021
 CH  AR  5  0.999798    382.52   4246.32   4950.49   5934.64     0.038       377    392.03     0.092
 CH  AR  6  0.997887    375.24    450.67    473.26    498.24     0.218        97    124.09     0.009
 CH  AR  7  0.997912    218.17    471.60    478.92    486.48     0.237       805   1055.23     0.014
 CH  AR  8  0.998826    240.02    840.88    851.81    863.03     0.232      2316   3014.83     0.032
 CH  AR  9  0.999500    257.14   1901.32   1999.91   2109.28     0.077       385    417.18     0.039
 CH  AR  10 0.995281    131.36    210.50    211.91    213.33     0.464       337    628.59     0.007
 CH  AR  11 0.999133    274.93   1131.53   1153.39   1176.11     0.155       768    909.39     0.029
 CH  AR  12 0.998633    437.81    692.64    731.54    775.07     0.257       170    228.85     0.018
 CH  AR  13 0.997273    257.09    355.80    366.71    378.30     0.380        77    124.21     0.010
 CH  AR  14 0.999904   3752.31   9782.63  10414.16  11132.86     0.025       766    785.69     0.166
 CU  AR  1  0.999835   5167.95   5208.70   6061.13   7247.18     0.649       243    691.91     0.099
 CU  AR  2  0.999628    659.09   2183.96   2688.23   3495.25     0.639       169    468.06     0.071
 CU  AR  3  0.999829    390.68   5468.45   5847.76   6283.60     0.215      1893   2410.76     0.136
 CU  AR  4  0.999363    192.30   1392.76   1569.87   1798.59     0.120       371    421.63     0.023
 CU  AR  5  0.999630    231.93   2438.55   2702.52   3030.57     0.099       195    216.34     0.028
 CU  AR  6  0.997121    220.81    335.48    347.34    360.06     0.426        57     99.26     0.006
 CU  AR  7  0.997390    193.43    372.45    383.14    394.45     0.389       345    564.99     0.006
