Don Rec Reg      Phi    Obs(N) LowLim(N) Expect(N)  UpLim(N)  Prob(UE)  Obs#(CT)  Exp#(CT)  Prob(TS)
 TL  PP  10 0.997945    370.41    464.46    486.62    511.00     0.287        44     61.75     0.002
 TL  PP  11 0.999301    592.89   1284.43   1430.65   1614.44     0.126       161    184.25     0.009
 TL  PP  12 0.997568    279.42    384.89    411.19    441.34     0.368        33     52.19     0.003
 TL  PP  13 0.998361    445.50    498.54    610.12    786.08     0.293        14     19.80     0.003
 TL  PP  14 0.999709   4328.30   3159.55   3436.55   3766.78     0.088       163    178.82     0.016
 AR  ST  1  0.999927  13139.32  11103.39  13695.69  17867.11     0.613        62    160.40     0.054
 AR  ST  2  0.999883  15996.26   6024.13   8546.72  14703.96     0.723        39    140.79     0.071
 AR  ST  3  0.999848   5801.24   6061.13   6579.30   7194.35     0.490       545   1068.10     0.071
 AR  ST  4  0.999874   1521.91   7136.20   7936.24   8938.31     0.105       310    346.32     0.099
 AR  ST  5  0.999940    914.66  14463.12  16660.59  19645.45     0.030       169    174.18     0.144
 AR  ST  6  0.998648    543.22    698.29    739.64    786.19     0.299        46     65.58     0.008
 AR  ST  7  0.999395    403.70   1542.73   1652.93   1780.08     0.132       261    300.78     0.015
 AR  ST  8  0.999857    467.80   6553.60   6993.42   7496.52     0.042       922    961.95     0.088
 AR  ST  9  0.998088    219.94    511.75    523.01    534.78     0.383       206    333.74     0.009
 AR  ST  10 0.999890    961.70   8180.02   9093.34  10236.25     0.055       275    290.86     0.140
 AR  ST  11 0.999918   4096.58  10775.35  12192.74  14039.51     0.061       224    238.62     0.085
 AR  ST  12 0.999949  19253.59  14833.97  19599.55  28876.45     0.083        34     37.08     0.080
 AR  ST  13 0.999895   9033.22   7203.61   9521.69  14039.51     0.214        27     34.36     0.078
 AR  ST  14 0.999912  12924.92  10362.70  11366.68  12586.06     0.110       195    219.19     0.053
 CH  ST  1  0.999885  17568.72   4669.42   8697.36  63310.25     0.832        43    255.43     0.074
 CH  ST  2  0.999856   5927.41   6918.44   6944.21   6970.18     0.812        39    207.96     0.115
 CH  ST  3  0.999880   2729.81   7710.12   8334.43   9068.77     0.555       797   1793.02     0.204
 CH  ST  4  0.999067    351.73      0.00   1071.82      0.00     0.107       284    318.09     0.017
 CH  ST  5  0.999653   1425.71   2500.33   2881.69   3400.33     0.060       143    152.05     0.029
 CH  ST  6  0.993355     89.24    147.61    150.49    153.48     0.494        59    116.54     0.004
 CH  ST  7  0.998169    263.63    521.36    546.15    573.42     0.204       254    319.24     0.007
 CH  ST  8  0.999628    661.52   2548.57   2688.23   2844.08     0.080       828    900.27     0.043
 CH  ST  9  0.998613    408.10    693.33    720.98    750.93     0.190       222    274.00     0.013
 CH  ST  10 0.997229    155.75    355.62    360.88    366.30     0.333       336    503.71     0.013
 CH  ST  11 0.999295    311.10   1361.01   1418.43   1480.91     0.130       345    396.67     0.022
 CH  ST  12 0.998627    374.90    674.60    728.34    791.38     0.256       100    134.47     0.015
 CH  ST  13 0.998159    300.79    505.14    543.18    587.42     0.292        29     40.96     0.007
 CH  ST  14 0.999924   4746.09  13066.37  13158.60  13252.15     0.019       307    312.86     0.118
 CU  ST  1  0.999784   3734.74   3305.86   4629.47   7720.76     0.845        43    278.07     0.043
 CU  ST  2  0.998998    288.94    925.74    997.99   1082.47     0.952        72   1510.24     0.120
 CU  ST  3  0.999470    289.05   1795.12   1886.78   1988.29     0.638       590   1630.54     0.042
 CU  ST  4  0.995559    122.27    221.09    225.17    229.41     0.555       219    492.47     0.005
 CU  ST  5  0.995095    108.35    201.68    203.87    206.12     0.662       147    434.67     0.006
 CU  ST  6  0.996529    157.58    272.69    288.10    305.35     0.528        31     65.70     0.004
 CU  ST  7  0.998204    240.40    519.29    556.79    600.13     0.312       136    197.56     0.004
 CU  ST  8  0.999204    303.00   1194.70   1256.25   1324.48     0.250       680    906.40     0.020
 CU  ST  9  0.994821     93.41    186.04    193.09    200.69     0.701       164    548.94     0.007
 CU  ST  10 0.997317    138.22    363.49    372.72    382.43     0.522       209    436.81     0.012
 CU  ST  11 0.997750    217.89    437.17    444.44    451.96     0.519       204    423.85     0.007
 CU  ST  12 0.997102    189.85    302.21    345.07    402.09     0.578        59    139.92     0.007
 CU  ST  13 0.995593    104.75    211.00    226.91    245.42     0.692        16     51.89     0.004
 CU  ST  14 0.999403    574.82   1597.37   1675.04   1760.65     0.253       439    587.52     0.028
 PP  ST  1  0.999862   6662.99   5583.10   7247.18  10324.44     0.929        86   1215.72     0.277
 PP  ST  2  0.999363   1094.32   1434.93   1569.87   1732.83     0.847        96    626.11     0.074
 PP  ST  3  0.999517    232.35   1893.38   2070.49   2284.17     0.095       828    914.78     0.024
 PP  ST  4  0.997903    217.81    465.58    476.87    488.72     0.273       207    284.75     0.006
 PP  ST  5  0.997121    244.34    340.64    347.34    354.31     0.412       114    194.03     0.004
 PP  ST  6  0.997689    345.11    409.68    432.71    458.49     0.230        27     35.05     0.003
 PP  ST  7  0.996283    179.97    264.55    269.03    273.67     0.321       148    217.86     0.002
 PP  ST  8  0.998498    251.99    657.23    665.79    674.57     0.226       663    856.19     0.010
 PP  ST  9  0.996922    224.15    315.95    324.89    334.35     0.402       105    175.59     0.004
 PP  ST  10 0.999828    517.87   5008.12   5813.31   6927.01     0.028       175    180.05     0.071
 PP  ST  11 0.999806   4369.38   4469.16   5154.29   6087.52     0.042       174    181.66     0.035
 PP  ST  12 0.999951  28364.00  14525.73  20410.24  34309.23     0.111        28     31.49     0.091
 PP  ST  13 0.999876   7461.76   5757.45   8065.97  13464.86     0.291        25     35.27     0.087
 PP  ST  14 0.999876   7188.35   7108.99   8065.97   9320.68     0.172       223    269.40     0.059
 TL  ST  1  0.999903   9453.78   7078.99  10311.75  18978.75     0.796        46    225.12     0.077
 TL  ST  2  0.999928  22687.29   9478.65  13888.42  25970.92     0.635        24     65.70     0.073
 TL  ST  3  0.999835   3090.53   6041.49   6061.13   6080.90     0.604       399   1007.70     0.083
 TL  ST  4  0.997793    250.00    428.30    453.11    480.97     0.230       128    166.13     0.004
 TL  ST  5  0.996279    183.81    261.85    268.75    276.02     0.418        75    128.83     0.002
 TL  ST  6  0.996389    185.27    259.36    276.93    297.05     0.345        11     16.81     0.001
 TL  ST  7  0.997700    322.22    390.71    434.78    490.05     0.263        89    120.72     0.002
 TL  ST  8  0.999470    307.03   1715.46   1886.78   2096.10     0.079       506    549.16     0.018
 TL  ST  9  0.995992    161.10    245.52    249.50    253.62     0.445        79    142.43     0.002
 TL  ST  10 0.997707    320.80    418.07    436.11    455.78     0.308        89    128.63     0.004
 TL  ST  11 0.998664    413.20    707.84    748.52    794.15     0.222       169    217.10     0.006
 TL  ST  12 0.998274    437.80    542.48    579.38    621.68     0.272        54     74.22     0.006
 TL  ST  13 0.997608    270.67    380.88    418.06    463.28     0.376        12     19.23     0.003
 TL  ST  14 0.999858   2291.03   6184.01   7043.33   8180.02     0.038       292    303.56     0.061
 AR  TL  1  0.999910  14060.23   8564.17  11110.74  15812.64     0.809        73    381.41     0.100
 AR  TL  2  0.999882  11852.11   8435.00   8473.34   8512.03     0.635        55    150.76     0.072
 AR  TL  3  0.999803   2022.08   4811.36   5076.31   5372.15     0.544      1138   2494.09     0.122
 AR  TL  4  0.997359    161.97    373.55    378.64    383.87     0.264       363    493.38     0.006
 AR  TL  5  0.993908     92.09    161.34    164.15    167.05     0.570       250    581.13     0.005
 AR  TL  6  0.998757    287.38    721.04    804.51    909.83     0.140        66     76.77     0.010
 AR  TL  7  0.997046    156.20    334.29    338.52    342.87     0.319       359    527.19     0.005
 AR  TL  8  0.996938    134.05    325.15    326.58    328.03     0.360       984   1538.62     0.006
 AR  TL  9  0.997769    124.73    437.39    448.23    459.62     0.286       269    376.76     0.008
 AR  TL  10 0.997984    132.38    454.67    496.03    545.67     0.263       164    222.57     0.006
 AR  TL  11 0.998540    278.21    667.06    684.92    703.77     0.230       399    517.95     0.010
 AR  TL  12 0.998065    311.82    496.72    516.79    538.56     0.301       106    151.64     0.008
 AR  TL  13 0.999292    509.70   1257.00   1412.46   1611.80     0.136        56     64.80     0.021
 AR  TL  14 0.999863   3343.36   6592.23   7300.79   8180.02     0.038       334    347.25     0.051
 CH  TL  1  0.999912  15500.91   9927.35  11366.68  13294.15     0.804        90    458.39     0.164
 CH  TL  2  0.999802   4322.88   3804.36   5050.34   7509.94     0.800        77    385.52     0.147
 CH  TL  3  0.999834   4605.41   5527.91   6024.13   6618.23     0.460       765   1416.64     0.110
 CH  TL  4  0.997375    221.56    374.74    380.95    387.38     0.281       227    315.59     0.006
 CH  TL  5  0.996446    178.24    276.28    281.37    286.66     0.471       152    287.53     0.005
 CH  TL  6  0.998030    362.89    484.29    507.62    533.30     0.316        71    103.74     0.011
 CH  TL  7  0.999798    752.41   4354.33   4950.49   5735.80     0.062       297    316.54     0.060
 CH  TL  8  0.999262    256.23   1264.30   1354.97   1459.65     0.129       668    767.37     0.017
 CH  TL  9  0.996459    157.72    268.07    282.41    298.37     0.417       190    325.76     0.006
 CH  TL  10 0.998465    345.31    623.32    651.47    682.28     0.337       193    290.96     0.013
 CH  TL  11 0.997877    232.57    466.03    471.03    476.14     0.415       290    495.35     0.009
 CH  TL  12 0.996930    213.04    315.65    325.73    336.48     0.419        71    122.14     0.006
 CH  TL  13 0.999615   1582.29   2280.75   2597.49   3016.40     0.221        68     87.30     0.069
 CH  TL  14 0.999851   4295.13   6032.80   6710.89   7560.71     0.069       354    380.28     0.069
 CU  TL  1  0.999803   4153.42   3131.83   5076.31  13389.64     0.759       269   1115.97     0.178
 CU  TL  2  0.999194    655.54   1149.91   1240.73   1347.13     0.839       122    758.08     0.071
 CU  TL  3  0.999657    537.07   2663.47   2915.24   3219.58     0.372      1599   2545.53     0.096
 CU  TL  4  0.998453    389.43    597.08    646.42    704.66     0.320       215    316.07     0.009
 CU  TL  5  0.999659    286.17   2585.09   2932.57   3387.97     0.136       173    200.15     0.037
 CU  TL  6  0.999862   1385.88   5827.45   7247.18   9581.51     0.120        75     85.27     0.132
 CU  TL  7  0.999314    498.79   1391.72   1457.75   1530.35     0.303       319    457.82     0.025
 CU  TL  8  0.999821    424.10   5154.29   5586.82   6098.59     0.055       538    569.57     0.053
 CU  TL  9  0.998326    210.91    568.60    597.37    629.21     0.421       219    378.17     0.014
 CU  TL  10 0.999852   1381.20   6147.75   6756.83   7499.87     0.210       337    426.79     0.194
 CU  TL  11 0.999877    756.16   7496.52   8128.50   8876.83     0.128       574    658.47     0.199
 CU  TL  12 0.998293    372.19    482.19    585.82    746.18     0.435        75    132.84     0.011
 CU  TL  13 0.999327    660.99   1305.82   1485.89   1723.57     0.422        77    133.30     0.060
 CU  TL  14 0.999777   2603.13   4200.60   4484.69   4809.98     0.276       565    780.70     0.094
 PP  TL  1  0.999879   7539.57   6369.48   8264.64  11765.23     0.915        75    877.25     0.216
 PP  TL  2  0.999444   1236.78   1576.21   1798.59   2094.01     0.840        82    513.66     0.066
 PP  TL  3  0.999019    168.00   1003.96   1019.40   1035.31     0.182      1054   1288.39     0.016
 PP  TL  4  0.998414    375.90    613.79    630.51    648.17     0.189       229    282.26     0.008
 PP  TL  5  0.998319    318.42    569.51    594.87    622.60     0.280       186    258.26     0.009
 PP  TL  6  0.997499    296.88    379.51    399.84    422.46     0.283        33     46.05     0.004
 PP  TL  7  0.998243    260.78    547.54    569.14    592.52     0.210       203    256.80     0.005
 PP  TL  8  0.999596    324.64   2265.35   2475.25   2728.00     0.081       731    795.38     0.031
 PP  TL  9  0.999230    331.66   1219.45   1298.75   1389.07     0.178       251    305.30     0.023
 PP  TL  10 0.996122    166.45    251.91    257.87    264.11     0.450        96    174.63     0.003
 PP  TL  11 0.999073    486.63    997.99   1078.78   1173.81     0.162       161    192.18     0.007
 PP  TL  12 0.997827    329.69    404.45    460.19    533.76     0.339        16     24.21     0.001
 PP  TL  13 0.997499    266.40    365.89    399.84    440.73     0.398        10     16.61     0.002
 PP  TL  14 0.999815   7584.19   4273.36   5405.03   7351.98     0.058       139    147.51     0.020
 ST  TL  1  0.999902   9109.15   8435.00  10205.12  12915.49     0.798        60    297.01     0.101
 ST  TL  2  0.999892  14528.63   9213.19   9258.95   9305.17     0.745        38    149.25     0.110
 ST  TL  3  0.999492   1728.99   1866.83   1968.46   2081.80     0.874       682   5402.52     0.145
 ST  TL  4  0.995163    127.61    204.27    206.74    209.28     0.413       100    170.47     0.002
 ST  TL  5  0.995639    144.66    223.74    229.31    235.16     0.463        59    109.80     0.002
 ST  TL  6  0.996742    212.90    294.82    306.94    320.10     0.320        30     44.14     0.003
 ST  TL  7  0.996003    161.24    246.31    250.19    254.19     0.396       124    205.18     0.002
 ST  TL  8  0.996271    174.51    265.29    268.17    271.11     0.403       293    490.92     0.002
 ST  TL  9  0.996241    178.15    253.65    266.03    279.67     0.427        78    136.19     0.002
 ST  TL  10 0.996253    183.03    259.27    266.88    274.95     0.435        39     69.05     0.001
 ST  TL  11 0.997549    283.28    392.30    408.00    425.00     0.355       109    168.93     0.003
 ST  TL  12 0.998823    695.67    664.39    849.61   1178.01     0.199        15     18.73     0.002
 ST  TL  13 0.998818    647.67    715.11    846.01   1035.57     0.219         6      7.68     0.002
 ST  TL  14 0.999833   3040.92   5208.70   5987.59   7040.38     0.045       169    176.88     0.030
