Region  1
          AR      CH      CU      PP      ST      TL
Min      253     172       0       0      98     129
Max      374     280       0       0     185     224
P<    0.0000  1.0000  0.0000  0.0000  0.0100  0.7604
P>    1.0000  0.0000  1.0000  1.0000  0.9900  0.2396

ST       160     101       0      62       0      59
Min      166     107       0      62       0      81
Max      279     195       0     129       0     162
P<    0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
P>    1.0000  1.0000  1.0000  1.0000  1.0000  1.0000

TL        99     635       0     180      75       0
Min      224     147       0      87      86       0
Max      356     247       0     169     168       0
P<    0.0000  1.0000  0.0000  1.0000  0.0000  0.0000
P>    1.0000  0.0000  1.0000  0.0000  1.0000  1.0000


Region  6
          AR      CH      CU      PP      ST      TL
AR         0      33       0      44      46      66
Min        0      33       0      17      16      25
Max        0      87       0      60      61      75
P<    0.0000  0.0000  0.0000  0.8998  0.9327  0.9972
P>    1.0000  1.0000  1.0000  0.1002  0.0673  0.0028

CH        97       0       0      36      59      71
Min       52       0       0      17      18      23
Max      118       0       0      60      63      75
P<    0.9034  0.0000  0.0000  0.4036  0.9997  0.9994
P>    0.0966  1.0000  1.0000  0.5964  0.0003  0.0006

CU        57      47       0      46      31      75
Min       52      32       0      15      17      22
Max      119      86       0      60      60      76
P<    0.0009  0.0667  0.0000  0.9483  0.1636  0.9999
P>    0.9991  0.9333  1.0000  0.0517  0.8364  0.0001

PP        39      14       0       0      27      33
Min       31      18       0       0       8      15
Max       85      72       0       0      45      53
P<    0.0031  0.0000  0.0000  0.0000  0.5770  0.5117
P>    0.9969  1.0000  1.0000  1.0000  0.4230  0.4883

ST        54      21       0      24       0      30
Min       16      12       0       4       0       5
Max       63      47       0      35       0      42
P<    0.9844  0.0788  0.0000  0.9321  0.0000  0.9367
P>    0.0156  0.9212  1.0000  0.0679  1.0000  0.0633

TL        27      25       0      23      11       0
Min       21      13       0       8       8       0
Max       77      60       0      40      43       0
P<    0.0001  0.0187  0.0000  0.5198  0.0024  0.0000
P>    0.9999  0.9813  1.0000  0.4802  0.9976  1.0000


Region  7
          AR      CH      CU      PP      ST      TL
AR         0     432       0     246     261     359
Min        0     302       0     182     183     235
Max        0     462       0     287     321     368
P<    0.0000  0.9934  0.0000  0.7566  0.9360  0.9995
P>    1.0000  0.0066  1.0000  0.2434  0.0640  0.0005

CH       805       0       0     197     254     297
Min      470       0       0     182     182     245
Max      651       0       0     300     304     378
