Region,Beg,End,Count
  157,   3755283,   3755285, 1.000
  158,   3755319,   3755323, 1.000
  159,   3757029,   3757035, 1.000
  160,   3758132,   3758234, 1.000
  161,   3759231,   3759296, 1.000
  162,   3763424,   3763559, 1.000
  163,   3763995,   3763999, 1.000
  164,   3764335,   3764383, 1.327
  165,   3771815,   3780893, 1.361
  166,   3781293,   3786250, 1.000
  167,   3786399,   3793974, 2.632
  168,   3797401,   3797408, 1.000
  169,   3801721,   3801746, 1.000
  170,   3802198,   3802206, 1.000
  171,   3803723,   3838586, 2.238
  172,   3849585,   3849635, 1.000
  173,   3851767,   3852798, 1.000
  174,   3853473,   3853474, 1.000
  175,   3853792,   3856336, 1.014
  176,   3862150,   3862636, 1.000
  177,   3865262,   3865265, 1.000
  178,   3869747,   3869749, 1.000
  179,   3872069,   3872231, 1.000
  180,   3874791,   3875008, 1.000
  181,   3875330,   3877548, 1.000
  182,   3883704,   3883955, 1.294
  183,   3884361,   3884362, 1.000
  184,   3884842,   3884847, 1.000
  185,   3888031,   3888348, 1.006
  186,   3891605,   3898198, 2.507
  187,   3899583,   3899623, 1.000
  188,   3906377,   3906388, 1.000
  189,   3906407,   3906412, 1.000
  190,   3908585,   3908592, 1.000
  191,   3911958,   3912619, 1.014
  192,   3912943,   3914811, 1.241
  193,   3919409,   3919829, 1.000
  194,   3923611,   3923715, 1.000
  195,   3927994,   3937445, 1.041
  196,   3945225,   3999997, 1.429
  197,   4000050,   4033104, 2.193
  198,   4033735,   4040332, 1.451
  199,   4040590,   4040647, 1.000
  200,   4051100,   4051350, 1.155
  201,   4052009,   4052078, 1.000
  202,   4052965,   4055626, 1.083
  203,   4056982,   4074033, 1.864
  204,   4074443,   4074615, 1.000
  205,   4076413,   4076419, 1.000
  206,   4077625,   4165371, 2.268
  207,   4166786,   4166872, 1.000
  208,   4169411,   4172460, 2.275
  209,   4174771,   4174799, 1.000
  210,   4175001,   4175002, 1.000
  211,   4177193,   4177205, 1.000
  212,   4177835,   4179646, 1.000
  213,   4180104,   4180372, 1.000
  214,   4183768,   4186105, 1.000
  215,   4186413,   4186426, 1.000
  216,   4188258,   4246718, 2.907
  217,   4247853,   4249189, 1.236
  218,   4250645,   4253656, 1.030
  219,   4253759,   4491648, 1.839
  220,   4493406,   4498010, 1.348
  221,   4500170,   4500777, 1.000
  222,   4501593,   4503450, 2.243
  223,   4503495,   4503959, 1.000
  224,   4504103,   4504104, 1.000
  225,   4504954,   4505367, 1.000
  226,   4507220,   4507226, 1.000
  227,   4507901,   4507918, 1.000
  228,   4508312,   4508374, 1.000
  229,   4508512,   4509061, 1.004
  230,   4509468,   4510620, 1.003
  231,   4512052,   4512065, 1.000
  232,   4514215,   4514759, 1.108
  233,   4514909,   4514914, 1.000
  234,   4515675,   4515711, 1.000
  235,   4516718,   4516923, 1.000
  236,   4521890,   4521904, 1.000
  237,   4522055,   4524610, 1.276
  238,   4527651,   4529560, 1.000
  239,   4531051,   4533373, 1.914
  240,   4536599,   4537972, 1.001
  241,   4538707,   4540478, 1.001
  242,   4542072,   4543282, 1.275
  243,   4544485,   4544513, 1.000
  244,   4546190,   4546202, 1.000
  245,   4549286,   4550570, 1.000
  246,   4551774,   4551775, 1.000
  247,   4553426,   4556173, 1.361
  248,   4557164,   4557248, 1.000
  249,   4560289,   4569422, 2.689
  250,   4571042,   4571044, 1.000
  251,   4572152,   4572166, 1.000
  252,   4572965,   4576782, 1.000
  253,   4576869,   4577295, 1.019
  254,   4578041,   4578044, 1.000
  255,   4578589,   4578590, 1.000
  256,   4578775,   4586423, 1.586
  257,   4588344,   4590149, 1.192
  258,   4592077,   4592192, 1.259
  259,   4592216,   4592224, 1.000
  260,   4592316,   4592466, 1.000
  261,   4593473,   4594056, 1.000
  262,   4595324,   4598990, 1.274
  263,   4601863,   4602587, 1.000
  264,   4603833,   4603838, 1.000
  265,   4605146,   4605546, 1.000
  266,   4606294,   4607410, 1.064
  267,   4607545,   4614591, 1.126
  268,   4618535,   4618536, 1.000
  269,   4618784,   4619021, 1.000
  270,   4619291,   4621644, 1.110
