"Min"	"Max"
1	1768582
1768583	2504966
2504967	6818602
6818603	8027224
8027225	8904211
14572913	14832381
13110419	14572912
9796268	13110418
8904212	9796267
14832382	15656351
15656352	17151447
17151448	17545814
17545815	17728080
17728081	19787792
